Country;Waypoint;Latitude;Longitude;;;;;;;;;;;
Austria;WGM87;48,185175;16,55435;;;;;;;;;;;
Austria;WO114;48,121825;16,53311667;;;;;;;;;;;
Austria;XANUT;47,116269;15,91188056;;;;;;;;;;;
Austria;XEBIX;47,399133;10,47893056;;;;;;;;;;;
Austria;ABABI;48,538572;12,9478;;;;;;;;;;;
Austria;ABETI;47,677714;17,01284167;;;;;;;;;;;
Austria;ABLOM;48,067567;17,08770278;;;;;;;;;;;
Austria;AKIMA;48,413158;13,31033611;;;;;;;;;;;
Austria;ALGOI;47,447425;10,48866944;;;;;;;;;;;
Austria;AMADI;48,091317;12,91379167;;;;;;;;;;;
Austria;ANEXA;47,854856;18,48623056;;;;;;;;;;;
Austria;ARLON;46,413822;15,02976389;;;;;;;;;;;
Austria;ARNOS;46,541256;13,56931111;;;;;;;;;;;
Austria;ARSIN;47,567211;16,75374444;;;;;;;;;;;
Austria;BABIT;45,931642;18,92897222;;;;;;;;;;;
Austria;BADVI;47,731086;11,94538056;;;;;;;;;;;
Austria;BAKOR;46,608889;11,72861111;;;;;;;;;;;
Austria;BAMUR;47,544722;9,543611111;;;;;;;;;;;
Austria;BEDOX;46,266039;15,82623333;;;;;;;;;;;
Austria;BEGLA;47,830711;17,11442778;;;;;;;;;;;
Austria;BOLMU;48,985786;16,95578889;;;;;;;;;;;
Austria;BRENO;46,980000;11,37666667;;;;;;;;;;;
Austria;BUDEX;48,948328;14,33602778;;;;;;;;;;;
Austria;CHIEM;47,825397;12,45586667;;;;;;;;;;;
Austria;DETSA;46,802500;12,28111111;;;;;;;;;;;
Austria;DIMLO;46,683489;16,42272222;;;;;;;;;;;
Austria;DIMUP;47,478611;10,19555556;;;;;;;;;;;
Austria;DIPSA;46,609606;14,92224444;;;;;;;;;;;
Austria;DITIS;48,898022;15,11636111;;;;;;;;;;;
Austria;ELMEK;49,903900;14,029875;;;;;;;;;;;
Austria;ENOGO;46,813333;11,06166667;;;;;;;;;;;
Austria;ESEGA;48,296444;13,18146944;;;;;;;;;;;
Austria;EVAXI;47,777856;17,10055278;;;;;;;;;;;
Austria;FUSSE;47,574289;10,42984722;;;;;;;;;;;
Austria;GILIN;46,491933;13,70242778;;;;;;;;;;;
Austria;GOGEM;47,018275;11,52635;;;;;;;;;;;
Austria;GOLVA;46,708769;15,65237222;;;;;;;;;;;
Austria;GONBA;48,687642;13,07571667;;;;;;;;;;;
Austria;GOSOR;46,771844;10,97447778;;;;;;;;;;;
Austria;GOTAR;46,997881;16,22476389;;;;;;;;;;;
Austria;IDRIG;45,950114;14,08500833;;;;;;;;;;;
Austria;INSOL;47,840603;12,61959167;;;;;;;;;;;
Austria;IRBIR;47,566414;11,10356944;;;;;;;;;;;
Austria;ISTRI;46,498919;13,96035556;;;;;;;;;;;
Austria;KANIN;46,440464;13,62868889;;;;;;;;;;;
Austria;KIRDI;48,207678;12,82165278;;;;;;;;;;;
Austria;KOGOL;47,622267;11,39985;;;;;;;;;;;
Austria;KUNET;47,946589;17,32643889;;;;;;;;;;;
Austria;LAMSI;48,653353;13,58344167;;;;;;;;;;;
Austria;LAPNA;46,535547;15,52046389;;;;;;;;;;;
Austria;LASLO;45,888542;14,54769722;;;;;;;;;;;
Austria;LEDRI;48,090889;17,18285278;;;;;;;;;;;
Austria;LEDVA;48,728789;16,78919444;;;;;;;;;;;
Austria;LEMSO;47,429925;10,82308056;;;;;;;;;;;
Austria;LIKDA;47,016917;11,75084167;;;;;;;;;;;
Austria;LIPMA;46,945222;10,962875;;;;;;;;;;;
Austria;LORLO;46,724050;10,67896944;;;;;;;;;;;
Austria;LUXEK;47,669086;11,61688889;;;;;;;;;;;
Austria;MATAR;46,974936;11,25330556;;;;;;;;;;;
Austria;MAXUP;47,928542;12,0975;;;;;;;;;;;
Austria;MEBEK;48,231944;12,56555556;;;;;;;;;;;
Austria;MIKOV;48,784744;16,62100278;;;;;;;;;;;
Austria;MIRLU;47,934508;17,14161944;;;;;;;;;;;
Austria;MIRSO;46,475986;15,84198056;;;;;;;;;;;
Austria;MODSA;47,955886;12,81822778;;;;;;;;;;;
Austria;MOMUK;47,838489;9,996991667;;;;;;;;;;;
Austria;MUREG;46,706736;15,80805;;;;;;;;;;;
Austria;NAPSA;48,144167;12,34555556;;;;;;;;;;;
Austria;NEBEL;47,403878;10,27443056;;;;;;;;;;;
