Country;Airport;District;Site;Lat;Long;elevation ft;reports;;;;;;;;;
Denmark;EKAT;MI;Anholt Island Arpt;56,699;11,556;23;;;;;;;;;;
Denmark;EKAV;SJ;Avnø (AFB);55,083;11,783;13;;;;;;;;;;
Denmark;EKBI;SY;Billund Arpt;55,74;9,152;220;METAR, TAF;;;;;;;;;
Denmark;EKCH;HO;Kobenhavn Intl;55,618;12,656;13;METAR, TAF;;;;;;;;;
Denmark;EKEB;SY;Esbjerg Arpt;55,528;8,563;95;METAR, TAF;;;;;;;;;
Denmark;EKGC;;Gorm;55,58;4,759;315;METAR, TAF;;;;;;;;;
Denmark;EKGF;;Tyra Oest;55,721;4,802;141;METAR, TAF;;;;;;;;;
Denmark;EKHA;;Halfdan;55,531;5,004;312;;;;;;;;;;
Denmark;EKHD;;Harald;56,344;4,272;312;METAR, TAF;;;;;;;;;
Denmark;EKHN;;Horns Rev B;55,6;7,624;33;;;;;;;;;;
Denmark;EKHO;MI;Lindtorp Arpt;56,397;8,442;46;;;;;;;;;;
Denmark;EKHR;;Horns Rev B;55,509;7,875;69;;;;;;;;;;
Denmark;EKHS;NO;Hadsund Aprt;56,756;10,234;7;;;;;;;;;;
Denmark;EKKA;MI;Karup Arpt;56,293;9,114;164;METAR, TAF;;;;;;;;;
Denmark;EKMB;SJ;Maribo Arpt;54,698;11,441;16;METAR, TAF;;;;;;;;;
Denmark;EKOD;SY;Odense Arpt;55,475;10,331;43;METAR, TAF;;;;;;;;;
Denmark;EKRK;SJ;Koebenhavn/Roskilde Arpt;55,587;12,136;131;METAR, TAF;;;;;;;;;
Denmark;EKRN;HO;Ronne/Bornholm Arpt;55,068;14,749;46;METAR, TAF;;;;;;;;;
Denmark;EKRS;;Ringsted Arpt;55,426;11,807;112;;;;;;;;;;
Denmark;EKSB;SY;Sønderborg Arpt;54,962;9,787;75;METAR, TAF;;;;;;;;;
Denmark;EKSN;NO;Sindal Arpt;57,504;10,223;92;METAR, TAF;;;;;;;;;
Denmark;EKSP;SY;Vojens Arpt(AFB);55,225;9,263;131;METAR, TAF;;;;;;;;;
Denmark;EKST;SY;Sydfyns Arpt;55,015;10,568;16;;;;;;;;;;
Denmark;EKSV;MI;Skive Arpt;56,554;9,165;72;METAR, TAF;;;;;;;;;
Denmark;EKTE;;Tyra;55,722;4,802;312;;;;;;;;;;
Denmark;EKTS;NO;Thisted Arpt;57,072;8,693;20;METAR, TAF;;;;;;;;;
Denmark;EKVA;SY;Vandel (AFB);55,7;9,2;236;METAR, TAF;;;;;;;;;
Denmark;EKVD;SY;Vamdrup Arpt;55,436;9,329;135;METAR, TAF;;;;;;;;;
Denmark;EKVG;VG;Sørvágur/Vágar Arpt;62,065;-7,282;292;METAR, TAF;;;;;;;;;
Denmark;EKVJ;MI;Stauning Arpt;55,991;8,354;16;METAR, TAF;;;;;;;;;
Denmark;EKVL;HO;Vaerlose (AFB);55,77;12,324;49;METAR, TAF;;;;;;;;;
Denmark;EKYT;NO;Aalborg Arpt;57,093;9,879;7;METAR, TAF;;;;;;;;;
Estonia;EEEI;HA;Ämari (AB);59,26;24,209;62;METAR, TAF;;;;;;;;;
Estonia;EEKA;HI;Kärdla Arpt;58,991;22,831;20;METAR, TAF;;;;;;;;;
Estonia;EEKE;SA;Kuressaare Arpt;58,23;22,509;13;METAR, TAF;;;;;;;;;
Estonia;EEPU;PA;Pärnu Arpt;58,419;24,473;43;METAR, TAF;;;;;;;;;
Estonia;EETN;HA;Tallin Arpt;59,413;24,801;135;METAR, TAF;;;;;;;;;
Estonia;EETU;TA;Tartu Arpt;58,307;26,691;220;METAR, TAF;;;;;;;;;
Finland;EFET;LL;Enontekio Arpt;68,363;23,424;984;METAR, TAF;;;;;;;;;
Finland;EFHA;KS;Halli Arpt;61,855;24,805;472;METAR, TAF;;;;;;;;;
Finland;EFHF;UU;Helsinki/Malmi Arpt;60,25;25,045;52;;;;;;;;;;
Finland;EFHK;UU;Helsinki/Vantaa Arpt;60,327;24,957;184;METAR, TAF;;;;;;;;;
Finland;EFHL;PP;Hailuoto Island;65,02;24,727;23;;;;;;;;;;
Finland;EFHT;EP;Ahtari;62,535;24,218;509;;;;;;;;;;
Finland;EFIL;EP;Ilmajoki;62,693;22,83;295;;;;;;;;;;
Finland;EFIV;LL;Ivalo Arpt;68,607;27,405;476;METAR, TAF;;;;;;;;;
Finland;EFJO;PK;Joensuu Arpt;62,66;29,611;387;METAR, TAF;;;;;;;;;
Finland;EFJY;KS;Jyväskylä Arpt;62,404;25,675;456;METAR, TAF;;;;;;;;;
Finland;EFKA;EP;Kauhava Arpt;63,127;23,051;128;METAR, TAF;;;;;;;;;
Finland;EFKE;LL;Kemi/Tornio Arpt;65,784;24,579;49;METAR, TAF;;;;;;;;;
Finland;EFKI;PP;Kajaani Arpt;64,283;27,673;433;METAR, TAF;;;;;;;;;
Finland;EFKK;KP;Kruunupyy Arpt;63,721;23,143;82;METAR, TAF;;;;;;;;;
